target,response1,response2
broadcaster,jeep,floor
hair,babysitter,parmesan
antelope,kumquat,deck
poker,sealant,bassist
cerebellum,trap,whale
neurologist,engraver,sheetrock
plow,copperhead,sandlot
muzzle,cannon,whitetail
ridge,persimmon,gunnysack
cellist,throne,puss
dingo,peanut,spokesman
scalpel,bluefish,pudding
clock,stepsister,matchstick
server,mayflower,statuette
dachshund,butternut,bookstore
washroom,glider,jalapeno
sawmill,butterfly,garlic
cityscape,fabric,landlord
ivory,latrine,traveler
seaplane,vermin,searchlight
software,foxhole,newspaperman
lanyard,showgirl,kindergartener
garnish,twister,clockmaker
stethoscope,rod,schoolchild
skydiver,stylus,newscaster
barn,sheepherder,duck
machinery,ropes,burglar
wire,physiologist,quiche
toast,barmaid,tank
toucan,stripe,filter
buffet,pet,flutist
dogfight,newspaper,barnacle
houseboy,router,schooner
garb,raspberry,nest
transmitter,licorice,housecoat
grower,vagina,copier
pyrotechnics,hostess,twig
clergyman,grape,breastplate
pediatrician,policewoman,hairdo
bath,fullback,topsail
dipper,signalman,mom
tote,geisha,cowgirl
dildo,pendant,laundrywoman
newspaperwoman,flannel,buttercup
bobsleigh,transcriber,doormat
tomboy,air,battleship
hornet,jumper,streetcar
corkboard,spitball,henchman
bunker,gunsmith,buffet
hitchhiker,crutch,butterfly
archbishop,microscope,skin
honeycomb,steeple,squire
monkey,searchlight,lad
woodworm,statuette,bunk
interrogator,physiologist,washcloth
pigskin,gravedigger,pager
bellman,skateboard,hairbrush
makeup,daybed,salesperson
mastiff,bouncer,batwing
sister,flowerpot,orchid
cummerbund,bandleader,rook
signalman,sewer,whitefish
foreman,casino,puree
headlock,dumbbell,pilot
fruitcake,lemon,ball
voicemail,birthmark,paparazzo
cannabis,brewery,steamboat
sleepwalker,hankie,sludge
reflector,furnace,triggerman
motorboat,subsoil,groundsman
sesame,bamboo,clipper
dwelling,digits,schnauzer
bathroom,bailiff,mantis
muffler,grapefruit,novelist
barbwire,mandolin,rooster
mussel,bellhop,cannonball
walrus,garment,parishioner
gunfight,spectator,spyglass
ninja,watchdog,bullet
duke,stockyard,lamplighter
stylist,metronome,conductor
bouquet,gazebo,neurologist
elm,guitar,artichoke
hubby,negro,cushion
grandnephew,doornail,chrome
needlepoint,veterinarian,eraser
clipper,amphetamine,poet
poodle,bobcat,firehouse
sailorman,boater,chick
nameplate,stonecutter,noose
backpacker,letter,butterfly
ponytail,flooring,lawyer
assistant,sprayer,upholstery
chinaware,writer,jeep
washtub,bird,fender
saddle,rhino,jackhammer
hydrosulfide,milkmaid,workstation
classroom,cricket,stud
college,encyclopedia,cattle
pornographer,shipmate,roadster
trespasser,relic,reel
coffin,golfer,pod
putty,highchair,doctor
campground,stargazer,greenhouse
diner,thresher,picket
manger,landlord,condominium
sister,snowcap,lens
handrail,saxophone,hygienist
livestock,tambourine,passkey
toffee,bridegroom,cabana
algae,clothing,freight
toothpaste,goalpost,cricket
barnyard,dolphin,stockroom
pimento,morgue,wristlet
plainclothesman,mirror,incision
passport,warden,microprocessor
synagogue,archbishop,drapery
stiletto,monument,marigold
shoehorn,protestor,tomboy
stepsister,spectroscope,cellist
battleaxe,bagpiper,phone
blazer,odometer,termite
warhorse,griddle,marsupial
turnip,jet,tray
armchair,caffeine,groundhog
brickwork,terrarium,busboy
panhandler,neuropsychologist,extinguisher
pheasant,cobbler,towline
inkwell,washtub,fencer
flyer,bugler,footlocker
slab,wizard,grin
umpire,whitetail,laptop
leech,hardcover,wallboard
pork,booth,pawnbroker
doorstop,tobacco,scallion
author,milepost,nutshell
grandma,stepfather,product
herringbone,silo,mammal
contortionist,hotel,astronaut
scout,cornflakes,trumpet
prosthesis,electrician,possum
bowtie,snowball,mortar
entryway,yeast,seaweed
nameplate,comforter,moth
motorboat,denture,starfish
skyscraper,pickaxe,custodian
tavern,canary,workspace
storekeeper,ballroom,stone
pole,pioneer,golfer
eggshell,supertanker,cayenne
outboard,furniture,druggist
synagogue,grandma,neckband
cranberry,golfer,petticoat
mole,sequin,watercolorist
fairground,doorman,hearth
motorbus,stepdaughter,sandal
labyrinth,anesthesiologist,tower
alfalfa,pastry,restaurant
dyke,wineglass,torch
canary,dowel,drip
casserole,mule,bodice
quartermaster,purse,tack
ticket,puppy,harness
sweeper,seahorse,carpeting
spoon,ringmaster,swordsman
fountain,bookseller,doctor
face,pueblo,hearth
barista,bakeshop,assistant
purse,pope,forklift
canary,grindstone,underclothing
cash,waterwheel,auntie
throne,sack,asparagus
jockey,fencing,headphone
mousse,mammoth,laptop
flannel,matador,sackcloth
fishbowl,boomerang,serviceman
envelope,beefsteak,shoplifter
larva,rayon,hologram
headlight,daffodil,fish
curtain,knitting,aphid
cobra,shrimp,stoneware
crematorium,bench,orchid
cheetah,honeysuckle,implant
campfire,strawberry,crabgrass
doorstep,teacher,lady
canary,winery,physicist
sleepwalker,holster,pullover
telescope,chaplain,moviegoer
rancher,dingo,cloakroom
protractor,troll,warrior
bluebonnet,textile,sketchbook
matchbox,tuba,porcupine
chamber,mustang,stock
blackbird,hologram,pail
engraving,bedsore,whitetail
stepbrother,ponytail,gunslinger
denim,etching,sergeant
nut,skydiver,cockroach
stump,boyfriend,tights
landowner,greens,slate
snowball,marionette,blueberry
primrose,actress,penlight
roommate,flannel,committeewoman
quiche,scoreboard,puffin
groomer,peony,turtleneck
brunette,typhoon,waistcoat
freeway,tailor,skyscraper
bedmate,beef,sandbar
grate,solarium,owl
squash,label,bassoon
firefighter,shoestring,huckleberry
masseur,frosting,otter
dandruff,townsman,shoelace
propeller,zinc,midshipman
recipe,snowsuit,contractor
buzzer,farmer,gear
atomizer,thyme,duck
reporter,kiosk,limestone
maestro,tripod,spear
varmint,email,cord
terrycloth,jackrabbit,sprocket
rifleman,joust,igloo
knickknack,terrace,cranberry
drawbridge,microbe,commentator
samurai,breadbox,relic
cheerleader,beet,vent
slaughterhouse,lion,tobacco
glasses,crabgrass,head
tailcoat,chess,bellman
birdcage,prune,bird
fabric,archbishop,werewolf
art,satinwood,belt
driveway,conquistador,neckwear
geographer,tomcat,chalet
hammock,baron,newspaper
paintbox,pigeon,birdhouse
puffin,outhouse,graveside
bayberry,handsaw,dandruff
grits,brickwork,pelican
tundra,oyster,muff
interrogator,seahorse,rag
pendant,doctor,ammo
stapler,cement,hematologist
pegboard,chrome,butterfly
gnat,vial,tambourine
flamethrower,warbler,shamrock
stapler,counselor,cleric
drums,saxophonist,spectrometer
scoutmaster,bishop,flattop
hangar,beekeeper,doorjamb
mural,warden,skid
ethanol,granddaddy,poolroom
tanker,derby,shaker
fortuneteller,checkbook,wiring
axe,easel,orthopedist
chipmunk,cathedral,bazooka
tablet,flamingo,embryo
tapeworm,scoutmaster,garbanzo
plank,vulture,synthesizer
urchin,podium,mantis
spear,summit,shoemaker
eyeglasses,homepage,paratrooper
spandex,bystander,comedian
steeple,chaperon,limb
hookworm,clipboard,webcam
bookkeeper,hothouse,thunderstorm
patrolman,denim,highlighter
mat,sandpiper,fern
bull,seatbelt,feather
keyboardist,washwoman,carrot
alehouse,parent,parenthesis
trigger,dinosaur,peppermint
grandparent,earphone,cassette
bayberry,piano,body
gutter,outdoorsman,controller
librarian,roadhouse,warship
tux,prizefighter,crisps
panel,eyepiece,cockatiel
cabin,samurai,urinal
matador,barnyard,meteorologist
mahogany,envelope,dogwood
caddy,composer,choreographer
hammer,anthrax,urologist
grandparent,candleholder,paddle
surgeon,gunboat,loop
cap,scorpion,pill
pub,diver,saxophone
lobe,crustacean,apple
pantsuit,couch,ruler
guardhouse,battleship,hairdresser
newsagent,garbage,doornail
goaltender,pebble,scrabble
curtain,orphan,cornmeal
veneer,orchestra,ovum
stair,satinwood,mustache
pomegranate,artery,maze
cigarette,wheelbarrow,snapper
marionette,seam,pimento
bedpan,anthrax,inspector
hitchhiker,sword,specimen
snowball,jackknife,bulb
tiller,bayonet,farmer
pegboard,shooter,man
airway,zinfandel,surfer
cockatoo,mutant,library
meteor,sniper,marcher
ivory,barricade,pharmacist
lifesaver,shoemaker,turntable
laboratory,eatery,sportswoman
marigold,fibula,canoe
bullring,footstool,turncoat
village,kidnapper,megaphone
showgirl,neuroscientist,tailpipe
bike,stewardess,halo
beautician,pony,faucet
choirboy,decal,streetwalker
nurse,automobile,crowd
theater,engineer,film
length,grocery,woodpecker
hummingbird,dishwasher,spectrometer
purr,hairpiece,lieutenant
chambermaid,silicon,wharf
scabbard,roundness,racehorse
manager,stateroom,block
diaper,hatband,seahorse
tyke,drawbridge,stirrup
mimosa,submariner,sharkskin
turbine,thunder,shark
maggot,radar,forest
assistant,hedge,maid
engine,weasel,snowboard
tundra,pornographer,cheesecloth
string,taxpayer,daiquiri
medalist,gauze,tooth
sandcastle,feeder,hairdo
wheelie,needlepoint,bee
moneylender,needle,inkwell
cartilage,dorm,hen
jailhouse,bookmark,employee
cumin,metal,dinette
gardenia,scaffolding,tanker
foghorn,saucepan,analyst
paparazzo,graphite,herringbone
cheetah,cummerbund,beacon
earplugs,sunscreen,flycatcher
vacationer,jockstrap,hillside
persimmon,lapel,vacationer
chimpanzee,baldhead,fender
baldhead,manger,gravedigger
kitchen,tomboy,schoolbook
buoy,sailor,sleeve
bishop,stopwatch,cinnamon
laborer,freezer,jailbird
psychotherapist,princess,thumbtack
squat,mitten,businesswoman
mustang,summerhouse,dosage
seedling,smokehouse,cashew
smoothie,enclosure,pear
tinplate,hijacker,chasm
gravestone,painter,magnetometer
botanist,bedsore,teleprompter
coach,knickers,billboard
cutlery,smokehouse,rosebush
casket,swimmer,rum
shipbuilder,woodwind,clove
bellhop,booth,yellowtail
pimp,girlfriend,washbowl
helmet,burner,scorekeeper
gauze,medicine,woman
ventriloquist,assassin,encyclopedia
lawn,dagger,skydiver
ankle,envelope,auntie
bullwhip,pup,armor
critter,disk,garage
tinsmith,soda,lining
scraper,rhino,ballroom
phone,pine,anus
collector,textbook,luggage
denim,wildlife,teardrop
jasmine,quadriceps,boat
shoulder,bloodworm,kitchen
fruitcake,septum,terrarium
lightbulb,patch,ballerina
lyre,headmaster,citadel
housetop,cage,huntress
cannon,sledge,watchdog
balsam,banquet,chinaware
jail,vent,doorman
freckle,therapist,polyp
fabric,tuna,cashbox
backbone,coatroom,investor
jar,bayberry,sauerkraut
potion,cockatiel,condom
item,cowgirl,stone
senator,technician,rye
hemp,laryngoscope,angleworm
toupee,bloodworm,copperhead
handbag,shipwreck,jockey
snail,tampon,brewery
taxidermist,doorstop,pug
druggist,coat,blackboard
pencil,watchman,scrabble
lapel,marathoner,footgear
mate,netting,advisor
stoneware,stargazer,quicksand
bellman,hairdo,whetstone
handstand,lookout,needle
microbe,sturgeon,treadmill
nightgown,longboat,shrimp
lawman,tollhouse,buzzer
money,engraver,raceway
pipe,possum,assistant
sunbather,glove,chardonnay
shipwreck,doll,barracuda
student,thermometer,thunderbolt
pawnshop,ramp,shaker
contortionist,geisha,nut
skin,grandnephew,cod
slat,lawyer,prison
headquarters,pallbearer,bulldozer
recliner,browser,seaplane
lapdog,microcomputer,powerboat
carpet,tray,thief
candelabra,teacher,stepbrother
wombat,dollhouse,quilt
washtub,jailer,pinkie
brickyard,spectrogram,wheatgrass
nanny,milk,carport
saber,stepbrother,shroud
fireplace,schoolchild,spectrograph
chicory,cassette,cashew
stateroom,turtledove,harness
bottle,pinball,decoy
commode,snake,condom
bin,tranquilizers,watchdog
moustache,frogfish,loiterer
packhorse,matchbox,ambulance
plainclothesman,smokestack,jaguar
kettle,boar,gymnastics
chimney,ferry,newsagent
plank,diamond,flatfoot
sparkler,sundeck,songbird
scalp,barbecue,brownie
submarine,earplug,puffball
lotus,kiwi,knob
songwriter,sideshow,asphalt
storefront,confetti,bobcat
polygraph,gynecologist,vial
sailcloth,chlorine,turtlehead
sauna,mollusk,waffle
dragonfly,tiara,fuse
gem,peddler,sugarcane
trench,windstorm,gooseberry
tongs,asteroid,asshole
shaker,tourniquet,deadbolt
tourniquet,rattlesnake,bandstand
lodge,surgeon,pocketknife
bottle,cord,hummer
tourniquet,barbell,mustard
shoestring,flasher,clergyman
petitioner,clubfoot,flaxseed
sphinx,washcloth,domino
hairdressing,housewife,passerby
baseboard,machete,pioneer
dagger,forklift,resident
snowmobile,janitor,elf
scorekeeper,lineman,neckline
bandit,caddy,haymaker
icepick,cockatoo,bedsore
wok,bellman,aluminum
posy,silkworm,blossom
wildflower,rib,bugle
gonad,backscratcher,inn
firecracker,amputee,temple
veil,landowner,blanket
electromagnet,forum,astronomer
headstone,crocodile,scoutmaster
lecturer,massacre,lemon
flashbulb,pollywog,elephant
terracotta,mallet,linebacker
kitchenware,hummer,catsup
pilot,doll,straightedge
crusher,aerosol,goose
pioneer,canoe,flamethrower
codeine,bottlenose,raincoat
sculpture,spacecraft,milkmaid
spider,mill,turnpike
mask,tradesman,hemline
mural,roofing,pickpocket
aisle,gnat,curtsy
peach,bed,brushes
nursemaid,windowpane,print
copier,detective,mixer
scrabble,worm,tempura
maestro,grindstone,hacksaw
snapdragon,mailbag,hourglass
sidewall,ladybug,nostril
sorcerer,exterminator,cinnamon
marcher,bedrock,tango
giblets,bum,weeds
formaldehyde,trolley,craftsman
picnicker,roommate,boardroom
litterbug,enclosure,bobsleigh
laundry,announcer,slipper
politician,cafeteria,webpage
minnow,caretaker,hardtop
banister,wolfhound,ophthalmologist
falcon,rattlesnake,ukulele
valet,pear,hydrocortisone
chardonnay,tidewater,bookshelf
taxman,cesspool,jasmine
tool,thermos,bookseller
pussycat,quarters,doll
splicer,midwife,satellite
ferryman,ballpoint,supper
conch,dockworker,bakery
mummy,oar,kickoff
permafrost,copilot,canopy
woodworm,pinecone,scrap
tumor,tanker,shaver
scrubwoman,knife,twin
cloth,sifter,fossil
grillwork,pomegranate,hopscotch
griddle,dog,fireworks
gargoyle,farmhouse,goldfish
spigot,monogram,citizen
bunk,trespasser,catsup
innkeeper,snowcap,rafting
pigpen,seabed,distiller
jackrabbit,matchbook,stationery
mantis,bedclothes,toupee
limousine,briefcase,redcoat
sulfur,sesame,trowel
browser,kitchenette,trough
cosmonaut,leaf,dungeon
inmate,geographer,ripcord
optician,kindergartner,dildo
nomad,pollen,sheetrock
balcony,pine,lamp
lookout,torch,drawer
tigress,garnish,jaybird
anklebone,shoestring,honeybee
piranha,feedbag,trooper
tuba,bird,chameleon
vet,match,passerby
dentist,methamphetamine,hairball
eyedrop,bucket,violinist
sloth,cobbler,glider
reel,dugout,aphid
cement,raptor,pianist
granddad,cot,chronograph
peephole,scone,mugger
blower,woodcutter,voicemail
doggy,modem,garment
pigtail,sage,nape
snake,blanket,sunlight
scallion,suit,pedal
pistol,jar,pimp
scanner,showerhead,anklebone
depot,beanpole,innkeeper
merchant,asphalt,rumba
scarecrow,paddock,islander
ribcage,almond,eatery
samurai,pub,stewardess
squirrel,paneling,primate
seaman,machete,superwoman
attacker,awning,neuroscientist
padlock,crow,pump
dick,maypole,squire
publicist,seismograph,hare
laugher,carpet,saleswoman
cuttlefish,champagne,cufflink
lighthouse,flycatcher,silverware
handsaw,bluebird,policewoman
eardrum,kiln,bloodworm
dowel,stove,oilman
beet,haymaker,macaw
guitarist,snowball,keyhole
biophysicist,biographer,chinaware
motocross,rifleman,guardrail
telegraph,schoolgirl,strawberry
tube,woodcarver,vaporizer
sachet,marinara,slave
doodle,tab,goat
schoolroom,stonemason,summit
cheesecloth,deputy,ticket
runner,pigpen,compactor
hayseed,waterway,merchandise
rower,chateau,songbird
teat,hardtop,scriptwriter
blizzard,superintendent,icepick
sarong,tray,panelist
foreskin,yellowtail,atrium
macadamia,flatware,pot
windowsill,eyedropper,locust
comforter,towline,hippopotamus
lamb,corral,nitroglycerine
exterior,quiche,film
campsite,grocer,gondola
bullet,resident,whitefish
spotlight,kindergartner,snowsuit
photocopy,smooches,papaya
flipper,embryo,workman
horsehide,litterbug,paperweight
samurai,crossword,peeler
cayenne,oar,garter
corsage,teleprompter,ophthalmologist
poolside,pullover,snowboarder
tweed,pine,cardholder
merchantman,geranium,grandmother
flower,smoker,candle
article,alcove,lizard
flycatcher,homemaker,breadbox
cereals,matting,looter
hyena,tinsel,grandfather
llama,bedroll,drugs
kumquat,stopwatch,toilet
grate,fistfight,schnauzer
hotdog,platter,ratchet
kingfisher,greenroom,baby
councilwoman,umbrella,firecracker
wiper,thumbhole,clarinetist
mustard,staircase,watercolorist
cornstalk,seasoning,mistletoe
merchant,seagull,alleyway
mucus,orangutan,glasshouse
shaker,dishrag,label
clitoris,shrine,stargazer
dockworker,neckwear,kabob
buckshot,grandchild,basement
drummer,barricade,bagpiper
lotus,spaceship,skin
attic,rat,longhorn
scraper,parrotfish,light
stage,foreskin,director
jetliner,commentator,algae
pantry,silo,sheepherder
gorge,fuchsia,snuffbox
possum,boilerplate,cargo
housemate,freckle,sidecar
chambermaid,hiker,glove
dress,tack,terrier
jaundice,blade,tailor
senator,blackberry,foursome
archaeologist,custodian,fax
chord,shears,footballer
hitchhiker,dishwasher,cheeseboard
pollen,museum,laundryman
commander,gulf,hairpin
gunman,color,sharkskin
antelope,tank,hoofs
workstation,husband,pliers
monk,paperback,bow
dockworker,samurai,oven
blacksnake,wreath,orchestra
toga,guitarist,hosiery
sack,boy,cartoon
planter,seismograph,dugout
baboon,chessboard,doorkeeper
handbook,writer,woodsman
hermaphrodite,washroom,spaceman
anchorman,diaper,airline
truffle,pigtail,hotel
pinhole,executioner,rugby
goaltender,urethra,softball
president,floor,sidearm
plantain,skylight,alcohol
sweatpants,cannonball,queen
anaconda,cauliflower,squeegee
ox,nightgown,manure
earring,scab,washer
podiatrist,landscape,padlock
booby,chinaware,showgirl
altar,strap,dogwood
bureau,barnacle,tent
statuette,squire,repairman
snorkel,hugger,columnist
secretary,daybook,wand
car,footstool,elm
bandmaster,analyst,cocoon
washcloth,fiesta,surgeon
fireplug,silverback,frog
street,recipe,chameleon
smoothie,orifice,flatware
coyote,rickshaw,stairwell
groundsheet,umbrella,mango
silkworm,drawstring,soprano
silverback,bath,vehicle
boardwalk,attire,macaroni
pelican,throat,incinerator
sage,cornerstone,spectacles
veranda,gymnast,gashouse
pump,abacus,silkworm
saffron,handclasp,skid
splitter,quadruplet,jewel
waistband,memo,newsagent
sundial,podiatrist,saddle
grower,pawnshop,decathlon
homemaker,shock,plate
lizard,cowboy,bullhorn
antifreeze,wizard,chateau
bouncer,bullfrog,wharf
spool,mammal,jewelry
cartridge,peppermint,gavel
peddler,witch,slab
cottonwood,beachwear,board
gunner,blackberry,sunscreen
hibiscus,smirk,dinette
pillow,housecleaning,opossum
tote,schoolmate,tetherball
vaporizer,ox,hairnet
artillery,caribou,sleepwalker
applicant,rash,chessboard
lamppost,jaguar,equipment
starfish,camera,schoolbag
pamphlet,silversmith,rapist
duck,groin,grate
cloth,rooster,distillery
breakwater,constable,dishtowel
husband,birdhouse,apartment
bathroom,shrimp,deer
testicle,tollgate,orthopedist
postman,riveter,hotbox
barbell,fridge,biophysicist
maraschino,nozzle,midshipman
mariner,bandstand,galley
supertanker,dyke,garment
decoy,eaves,tile
oak,moleskin,announcer
bale,starlet,rickshaw
faucet,organism,lapdog
amulet,depot,bloodhound
bedbug,pantry,equipment
wintergreen,outpost,lemon
bird,workstation,boardinghouse
gardenia,bower,yardman
cutter,jetliner,python
harvester,buck,semen
dunghill,shack,cowgirl
speechmaker,cafeteria,caboose
canary,drum,biophysicist
decoy,bistro,streaker
worm,swat,coffeehouse
hibachi,veterinarian,sage
cough,lever,manatee
hologram,bib,bayberry
gorilla,laptop,facilities
sunbird,surfboard,watchman
roofing,recruiter,chlorophyll
sidewalk,poet,barometer
pullover,gerbil,stag
jewelry,bedrock,ladybird
splicer,abscess,lever
citizen,wiretap,thresher
dish,doorway,reindeer
pinecone,mushroom,newsreel
ovary,wigwam,rifleman
leech,clavicle,lager
fairy,landlady,toga
bungalow,drumming,wolf
wienie,hairstylist,speck
tentmaker,earplugs,wheelhouse
packhorse,crematorium,humidifier
savannah,collar,conductor
organist,calligraphy,pantyhose
warplane,eagle,pianist
seafloor,buyer,trumpet
toadstool,shroud,rhinoceros
greenroom,daddy,skull
homeroom,businessman,miner
bridge,pasture,dictator
chip,terrier,shower
receipt,spore,hedgehog
wreck,wrecker,transponder
cockatiel,ballpoint,collar
pimento,penitentiary,biographer
condo,beekeeper,daybreak
lotus,gauge,sheep
physiologist,balsam,twine
knickers,handclasp,dike
pothole,wheat,handgun
urologist,upholstery,pet
yardman,razor,silencer
rowboat,nut,masseuse
serum,microfilm,henchman
songbook,conquistador,lancer
coliseum,sewer,mimosa
dog,cuff,cinnamon
cellophane,skin,granddaddy
giraffe,print,snowcap
microwave,road,infantryman
secretary,lovebird,auditorium
vampire,cobweb,trekker
towel,art,woodpecker
saxophone,rider,paintbox
matchwood,oxcart,jazzman
eraser,soprano,jaws
ramp,foxhound,sulfite
shaker,turtleneck,comma
typist,griddle,buckshot
coke,cosmologist,apparel
thistle,polisher,purse
motorcyclist,pulp,fixture
drawers,gnat,thumbtack
giraffe,clove,licorice
spade,spokeswoman,infirmary
kangaroo,coffin,poet
hologram,infantryman,miniskirt
doorpost,haircut,python
bracelet,potato,cougar
pedometer,taxman,nudist
drape,penknife,shipbuilder
sidesaddle,visitor,kitchenware
paperclip,author,sibling
jailer,gurney,ammo
oar,ambassador,auctioneer
shower,baklava,hermit
mower,glasswork,groundsman
tollhouse,woodchuck,carpetbag
magnetometer,snorkel,poacher
laryngoscope,boxer,orchid
jackknife,ballplayer,dinnerware
wigwam,deli,nanny
sixpence,wolfhound,backboard
pineapple,bedpan,terrace
saloonkeeper,windowpane,hummingbird
nectarine,crutch,swimwear
meadowlark,sweater,soccer
microphone,beekeeper,sundress
wiener,lion,planetarium
grocery,stubble,mule
squaw,vaporizer,lesbian
gunner,whiskers,pawnbroker
rattail,ashtray,psychiatrist
icepick,boysenberry,beefsteak
washstand,opiate,collector
sand,linesman,sarcophagus
croquette,kumquat,stockade
optometrist,directory,buzzer
gardenia,blender,sardine
pasties,magnetometer,plasterer
detonator,coil,hornet
senator,hydrocortisone,signboard
fortress,technician,fluoroscope
cockpit,anthill,ballplayer
latch,grasshopper,sedan
bandage,desktop,teenager
floodlight,rattler,burglar
jester,dwelling,hairbrush
winemaker,dad,spear
griddle,doctor,martini
ukulele,dachshund,sandlot
stepfather,house,quiche
blacktop,animal,pepper
ammo,loon,storyboard
schoolbook,incubator,barnacle
gambler,mousetrap,stucco
asteroid,strand,actor
briefcase,farmhouse,pacifier
cheetah,doorknocker,gnat
axe,gangrene,bellboy
observatory,boathouse,panda
crevasse,pacifier,upholstery
banister,cornstalk,auctioneer
woodpecker,padding,electrician
bunk,surgeon,tablecloth
synthesizer,portside,straightedge
manager,horn,beard
mum,brine,photomontage
physiologist,mask,gadget
doornail,fetus,toolbox
nest,sphinx,grape
rapist,painting,cradle
art,firelight,advisor
penknife,aircraftsman,guidebook
serviceman,purse,latch
blacksnake,sawhorse,ambulance
cheesecake,applicator,interrogator
employee,forearm,bath
mildew,grocery,pilot
adobe,chrysanthemum,fundraiser
kabob,textile,zucchini
footpad,stairwell,sweatband
brunette,topaz,crossbar
hornet,salt,breeches
buyer,exoskeleton,skydiver
paratroops,salamander,linen
postman,termite,freckle
box,accelerator,racehorse
quad,tabletop,catalog
leash,fang,wrecker
aircraft,cheerleader,liposuction
mobster,rack,skylight
singer,snowboarder,bloomers
calendar,postman,blackboard
megaphone,cowpoke,mainsail
mistress,shaman,scraper
hiker,wand,inductee
bellhop,pendulum,coke
wheelhouse,migrant,sibling
gambler,peppermint,microprocessor
voicemail,microbe,armchair
monk,straightjacket,rye
ferry,mailbox,bellman
ferry,kin,calligrapher
prong,teahouse,rhinoceros
photographer,plow,knee
hanger,earpiece,piano
cobbler,respirator,banker
sunbath,loveseat,bonsai
leash,codpiece,pepper
quarterback,radar,trinket
meadowlark,sleigh,sheriff
groom,spreadsheet,anklet
beeper,harvest,samba
turnpike,lad,boysenberry
prosecutor,multivitamin,outlet
flagstone,primate,paleontologist
daybed,acid,mercenary
cherry,platypus,eyelash
megaphone,ganja,sleepwalker
cinematographer,corset,oat
queen,villager,glassware
handstand,counterweight,ophthalmologist
zoo,mammal,puppy
ginseng,bug,coyote
retailer,spokeswoman,stopwatch
elephant,ruler,flagpole
director,hipbone,gym
vase,eagle,yodel
telegraph,patrolman,handmaid
pacifier,vinaigrette,painting
hologram,crossroads,cinematographer
rattler,camcorder,dye
swastika,warrior,schoolboy
toboggan,torturer,flatiron
library,toothbrush,painter
chimpanzee,laser,structure
quarry,skirt,mantle
steak,skateboard,gladiator
satellite,sharpener,schoolgirl
landlord,eyebrow,janitor
swamp,truffle,lightbulb
netting,investigator,choirboy
caseworker,slipper,nectar
czar,flipper,chardonnay
sextant,bodybuilder,turnstile
stethoscope,greyhound,triplet
salesman,mailman,rib
cat,gang,scissors
archbishop,sackcloth,locomotive
terrier,boa,boyfriend
blender,butterfly,harpooner
seatbelt,grocer,scrubwoman
fridge,bumblebee,hole
asphalt,macaroni,stonework
hornpipe,player,waistband
honeysuckle,farmyard,chaplain
toad,warehouse,patch
anthropologist,brooch,floorboard
lectern,embankment,skinhead
hammer,waiter,dowel
handset,podiatrist,ingredients
earring,polyp,balloonist
councilman,controller,automobile
holster,shrimp,clock
tearoom,primrose,bead
tightrope,salve,janitor
mamma,punt,bedspread
moviegoer,pueblo,haymaker
forceps,curtain,whittler
dossier,crowbar,biophysicist
witness,rifle,trapeze
anemone,nightclub,butterfly
poodle,rooms,attacker
merchandise,hanger,factory
gargoyle,textile,tinsmith
guitarist,sonogram,buttonhole
shroud,robot,transmitter
tarmac,quiche,clarinetist
minivan,model,harpooner
glue,snowmobile,elephant
revolver,mount,medication
piranha,directory,boot
hamper,tiara,slaveholder
chop,tradesman,sleepwear
spyglass,entree,midwife
playbook,filmmaker,pencil
assistant,mortician,graffiti
gopher,calf,hut
scrabble,rattail,vise
pomegranate,stone,lavatory
street,telephone,critter
cod,councilwoman,tweezer
counter,caribou,cafeteria
emperor,tea,cord
suds,seismologist,blossom
barkeeper,coat,coatroom
policewoman,chiropractor,backroom
singer,footrest,schnauzer
